reservation_date,adults,children,booking_changes,total_of_special_requests,reservation_count,hotel
2016-07-28,246,31,20,86,122,City Hotel
2016-07-29,199,29,27,87,103,City Hotel
2016-07-30,237,37,34,87,118,City Hotel
2016-07-31,160,36,27,63,82,City Hotel
2016-08-01,241,26,35,102,133,City Hotel
2016-08-02,158,28,22,51,86,City Hotel
2016-08-03,232,31,32,79,127,City Hotel
2016-08-04,176,13,18,77,87,City Hotel
2016-08-05,157,32,30,81,88,City Hotel
2016-08-06,188,34,30,75,97,City Hotel
2016-08-07,164,29,32,84,81,City Hotel
2016-08-08,246,20,36,90,123,City Hotel
2016-08-09,186,21,25,67,95,City Hotel
2016-08-10,166,16,34,61,85,City Hotel
2016-08-11,207,32,39,73,127,City Hotel
2016-08-12,213,13,31,93,106,City Hotel
2016-08-13,174,16,31,76,95,City Hotel
2016-08-14,165,30,35,82,88,City Hotel
2016-08-15,224,36,41,83,115,City Hotel
2016-08-16,189,35,46,99,98,City Hotel
2016-08-17,223,21,31,79,115,City Hotel
2016-08-18,272,31,43,133,142,City Hotel
2016-08-19,195,34,33,83,102,City Hotel
2016-08-20,238,19,44,113,130,City Hotel
2016-08-21,196,18,29,121,103,City Hotel
2016-08-22,187,35,32,92,101,City Hotel
2016-08-23,198,18,27,82,102,City Hotel
2016-08-24,270,19,40,91,137,City Hotel
2016-08-25,175,19,36,83,93,City Hotel
2016-08-26,181,30,37,68,95,City Hotel
2016-08-27,109,9,28,48,55,City Hotel
2016-08-28,176,18,26,55,97,City Hotel
2016-08-29,219,21,35,66,123,City Hotel
2016-08-30,242,18,34,70,124,City Hotel
2016-08-31,208,21,25,79,106,City Hotel
2016-09-01,169,24,26,105,92,City Hotel
2016-09-02,270,24,35,116,142,City Hotel
2016-09-03,196,17,25,95,104,City Hotel
2016-09-04,180,12,23,76,94,City Hotel
2016-09-05,229,15,28,126,121,City Hotel
2016-09-06,434,14,21,85,248,City Hotel
2016-09-07,156,9,27,87,89,City Hotel
2016-09-08,186,13,46,110,106,City Hotel
2016-09-09,184,18,42,105,101,City Hotel
2016-09-10,123,11,26,64,69,City Hotel
2016-09-11,224,14,42,118,121,City Hotel
2016-09-12,250,16,33,145,133,City Hotel
2016-09-13,240,20,30,143,133,City Hotel
2016-09-14,139,12,19,72,79,City Hotel
2016-09-15,276,17,35,145,165,City Hotel
2016-09-16,223,17,34,112,129,City Hotel
2016-09-17,158,20,54,94,99,City Hotel
2016-09-18,214,10,42,105,115,City Hotel
2016-09-19,192,17,21,92,105,City Hotel
2016-09-20,450,18,49,85,245,City Hotel
2016-09-21,246,12,43,88,139,City Hotel
2016-09-22,240,20,30,110,136,City Hotel
2016-09-23,175,9,20,96,105,City Hotel
2016-09-24,83,4,32,40,51,City Hotel
2016-09-25,307,12,88,102,163,City Hotel
2016-09-26,261,9,32,86,145,City Hotel
2016-09-27,160,8,35,80,98,City Hotel
2016-09-28,210,4,51,112,117,City Hotel
2016-09-29,244,12,26,106,142,City Hotel
2016-09-30,190,12,33,114,106,City Hotel
2016-10-01,132,10,32,60,76,City Hotel
2016-10-02,209,9,36,120,115,City Hotel
2016-10-03,180,9,32,59,98,City Hotel
2016-10-04,169,19,26,88,96,City Hotel
2016-10-05,174,13,24,99,99,City Hotel
2016-10-06,195,13,31,80,108,City Hotel
2016-10-07,345,16,53,152,199,City Hotel
2016-10-08,126,9,17,72,69,City Hotel
2016-10-09,181,21,37,92,101,City Hotel
2016-10-10,323,6,44,168,175,City Hotel
2016-10-11,169,10,28,87,97,City Hotel
2016-10-12,149,9,35,89,88,City Hotel
2016-10-13,204,14,65,76,154,City Hotel
2016-10-14,227,14,28,105,144,City Hotel
2016-10-15,105,16,22,33,69,City Hotel
2016-10-16,263,9,49,140,162,City Hotel
2016-10-17,175,12,24,52,97,City Hotel
2016-10-18,139,9,27,80,77,City Hotel
2016-10-19,138,12,32,80,79,City Hotel
2016-10-20,161,11,37,91,94,City Hotel
2016-10-21,308,15,36,98,201,City Hotel
2016-10-22,142,18,36,71,77,City Hotel
2016-10-23,214,19,36,119,114,City Hotel
2016-10-24,156,12,25,82,83,City Hotel
2016-10-25,231,18,47,108,133,City Hotel
2016-10-26,167,13,24,71,92,City Hotel
2016-10-27,205,21,36,100,120,City Hotel
2016-10-28,289,31,28,150,166,City Hotel
2016-10-29,181,30,53,111,107,City Hotel
2016-10-30,173,17,41,106,92,City Hotel
2016-10-31,163,19,32,117,94,City Hotel
2016-11-01,201,18,26,121,114,City Hotel
2016-11-02,172,13,21,95,99,City Hotel
2016-11-03,131,9,23,96,79,City Hotel
2016-11-04,159,14,28,116,95,City Hotel
2016-11-05,149,8,24,99,83,City Hotel
2016-11-06,256,12,27,104,135,City Hotel
2016-11-07,181,15,28,108,103,City Hotel
2016-11-08,69,11,18,45,43,City Hotel
2016-11-09,115,3,18,49,74,City Hotel
2016-11-10,167,4,29,112,118,City Hotel
2016-11-11,164,14,37,113,111,City Hotel
2016-11-12,115,6,17,53,67,City Hotel
2016-11-13,189,13,32,104,103,City Hotel
2016-11-14,193,11,36,103,109,City Hotel
2016-11-15,179,5,20,75,108,City Hotel
2016-11-16,109,9,27,70,67,City Hotel
2016-11-17,166,10,26,93,99,City Hotel
2016-11-18,173,8,41,85,107,City Hotel
2016-11-19,150,6,35,88,85,City Hotel
2016-11-20,211,12,16,134,110,City Hotel
2016-11-21,477,18,45,120,256,City Hotel
2016-11-22,152,19,37,97,87,City Hotel
2016-11-23,194,13,98,64,135,City Hotel
2016-11-24,192,14,56,85,139,City Hotel
2016-11-25,1413,8,46,35,751,City Hotel
2016-11-26,144,13,44,87,86,City Hotel
2016-11-27,207,11,26,85,110,City Hotel
2016-11-28,133,9,20,64,72,City Hotel
2016-11-29,139,16,23,50,80,City Hotel
2016-11-30,129,9,21,55,88,City Hotel
2016-12-01,71,10,17,31,51,City Hotel
2016-12-02,181,12,17,55,102,City Hotel
2016-12-03,71,15,23,47,44,City Hotel
2016-12-04,183,8,47,82,97,City Hotel
2016-12-05,139,5,68,62,78,City Hotel
2016-12-06,171,18,23,68,104,City Hotel
2016-12-07,639,9,40,69,397,City Hotel
2016-12-08,142,13,34,82,84,City Hotel
2016-12-09,347,18,16,53,194,City Hotel
2016-12-10,101,17,16,43,61,City Hotel
2016-12-11,270,29,42,107,136,City Hotel
2016-12-12,414,13,13,91,219,City Hotel
2016-12-13,365,9,13,66,190,City Hotel
2016-12-14,92,7,15,36,59,City Hotel
2016-12-15,79,8,23,44,53,City Hotel
2016-12-16,142,5,24,60,82,City Hotel
2016-12-17,88,8,31,56,60,City Hotel
2016-12-18,117,18,33,64,67,City Hotel
2016-12-19,118,7,28,47,64,City Hotel
2016-12-20,131,10,20,56,83,City Hotel
2016-12-21,276,14,29,65,151,City Hotel
2016-12-22,144,10,25,79,84,City Hotel
2016-12-23,95,11,14,50,56,City Hotel
2016-12-24,65,9,16,47,36,City Hotel
2016-12-25,77,6,16,40,38,City Hotel
2016-12-26,117,22,40,48,60,City Hotel
2016-12-27,240,26,53,106,128,City Hotel
2016-12-28,231,24,63,111,121,City Hotel
2016-12-29,184,19,24,88,95,City Hotel
2016-12-30,166,21,36,82,85,City Hotel
2016-12-31,85,20,17,47,46,City Hotel
